method,solution,cut_value,execution_time,trial_seed,quality,graph_name,exact_optimum,schema_version
Tabu Search,"[1, 0, 0, 1, 1, 0]",9,2.0999631881713867,8095,1.0,K6,9,1
Tabu Search,"[0, 1, 1, 0, 1, 0]",9,2.10021710395813,4232,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 0, 1, 0]",9,2.100386619567871,1146,1.0,K6,9,1
Tabu Search,"[0, 1, 0, 1, 0, 1]",9,2.1025149822235107,3465,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 0, 1]",16,0.011784791946411133,3231,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 1, 0, 1, 0, 0, 0]",16,0.011853218078613281,6569,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 1, 1, 0, 0, 0, 0]",16,0.01175689697265625,3126,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 1, 0, 0, 1, 0, 1]",16,0.011921167373657227,6401,1.0,K8,16,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 1, 0]",16,0.011726140975952148,1951,1.0,K8,16,1
Classical SA (Metropolis),"[0, 1, 0, 1, 0, 1, 0, 1]",16,0.011856317520141602,3625,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 0, 0, 1, 1, 0, 1]",16,0.011820077896118164,6815,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 1, 0, 0, 0, 0, 1]",16,0.011605978012084961,9395,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1]",16,0.011952877044677734,6507,1.0,K8,16,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1]",16,0.011951208114624023,5223,1.0,K8,16,1
Classical SA (Metropolis),"[0, 0, 1, 1, 0, 0, 1, 1]",16,0.011678934097290039,3269,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 0, 1, 1, 0, 1, 0]",16,0.012968778610229492,9750,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 1, 0, 0, 1, 1, 0]",16,0.012011051177978516,1035,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 0, 1, 0, 1, 1, 0]",16,0.011756181716918945,8425,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 1, 0, 0, 1, 0, 0]",16,0.012001991271972656,7072,1.0,K8,16,1
Classical SA (Metropolis),"[0, 1, 1, 1, 1, 0, 0, 0]",16,0.011710882186889648,3377,1.0,K8,16,1
Classical SA (Metropolis),"[0, 1, 0, 1, 0, 1, 1, 0]",16,0.012861013412475586,4043,1.0,K8,16,1
Classical SA (Metropolis),"[1, 1, 0, 1, 0, 0, 1, 0]",16,0.017644882202148438,9307,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 1, 0, 0, 1, 1, 0]",16,0.012029886245727539,9697,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 1, 0, 1, 1, 0, 0]",16,0.012010812759399414,7883,1.0,K8,16,1
Tabu Search,"[1, 0, 0, 0, 1, 1, 1, 0]",16,2.1003520488739014,3231,1.0,K8,16,1
Tabu Search,"[1, 0, 1, 0, 0, 1, 0, 1]",16,2.0996201038360596,6569,1.0,K8,16,1
Tabu Search,"[1, 1, 1, 0, 1, 0, 0, 0]",16,2.0997607707977295,3126,1.0,K8,16,1
Tabu Search,"[1, 1, 1, 0, 1, 0, 0, 0]",16,2.1006152629852295,6401,1.0,K8,16,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1]",16,2.099719285964966,1951,1.0,K8,16,1
